iter	RMSE
0	0.01037003472
1	0.01034208455
2	0.01031347972
3	0.01028780001
4	0.01026307321
5	0.01024459744
6	0.01022376108
7	0.01020028913
8	0.01017634914
9	0.01015843078
10	0.01013454351
11	0.01011096697
12	0.01009323326
13	0.01007321223
14	0.0100510448
15	0.01003237617
16	0.01001333868
17	0.00999559183
18	0.009979972419
19	0.009958988533
20	0.00994148647
21	0.009925447525
22	0.009902091143
23	0.009887605896
24	0.009871597698
25	0.009860524253
26	0.009844258197
27	0.009829228723
28	0.009815732492
29	0.009801432615
30	0.009786053964
31	0.009775269345
32	0.009762442318
33	0.009750801023
34	0.00973647634
35	0.009726340127
36	0.009709865907
37	0.00969516025
38	0.009685778626
39	0.009673222003
40	0.009661303018
41	0.009648044848
42	0.009636767374
43	0.009625381979
44	0.009613827911
45	0.009600470961
46	0.009589080617
47	0.009576589713
48	0.009566129567
49	0.009555563647
50	0.009546142358
51	0.009540143742
52	0.009527485592
53	0.009513122402
54	0.009499491453
55	0.009487833189
56	0.009475394519
57	0.00946385692
58	0.00945617419
59	0.009442707361
60	0.009434661008
61	0.009426258754
62	0.009416402912
63	0.009409252468
64	0.009400421652
65	0.009393997761
66	0.009385754036
67	0.009377733269
68	0.009369439224
69	0.009359179716
70	0.009350317784
71	0.009340666927
72	0.00932800441
73	0.00931729653
74	0.0093082313
75	0.009304125909
76	0.009296970683
77	0.009289688569
78	0.009282227507
79	0.009276741578
80	0.009268335155
81	0.009256429129
82	0.009247244994
83	0.009236964097
84	0.009226506789
85	0.009219657331
86	0.00920777405
87	0.00920218495
88	0.009193907888
89	0.00918944752
90	0.009183101971
91	0.009176974107
92	0.009171848768
93	0.00916624197
94	0.009159179312
95	0.009150936414
96	0.009142239852
97	0.009136228241
98	0.009131092112
99	0.0091256172
100	0.009118636211
101	0.009110789871
102	0.009106232914
103	0.009100590083
104	0.009092771193
105	0.009084838428
106	0.009076524924
107	0.00906803294
108	0.009060672373
109	0.009050360466
110	0.009043265181
111	0.009035508888
112	0.009025363593
113	0.009017769082
114	0.009011793719
115	0.009005489427
116	0.008997208328
117	0.008992268252
118	0.008984203137
119	0.008978244225
120	0.008973357487
121	0.008966833985
122	0.00896300807
123	0.00895896622
124	0.008954568834
125	0.008948285923
126	0.008942919026
127	0.008934500794
128	0.008929952352
129	0.008922559561
130	0.008913880162
131	0.008907611973
132	0.008903262719
133	0.008895974912
134	0.008889353896
135	0.008882804068
136	0.008876502749
137	0.008867365385
138	0.008861683125
139	0.008857254957
140	0.008851159018
141	0.008845269726
142	0.008839581315
143	0.008833462892
144	0.008826976722
145	0.008819289357
146	0.008813856019
147	0.008806993785
148	0.008800139039
149	0.008794795316
150	0.008788843614
151	0.008781904835
152	0.008775127232
153	0.008768462982
154	0.008763617756
155	0.008757867584
156	0.008751735196
157	0.00874800509
158	0.008745335148
159	0.008739963192
160	0.008734708595
161	0.008730109702
162	0.008720624252
163	0.00871177195
164	0.008704656557
165	0.008699091805
166	0.00869250489
167	0.008682690895
168	0.008676354745
169	0.008669132041
170	0.008662121718
171	0.008655706354
172	0.008649791382
173	0.008644764413
174	0.008638473986
175	0.008632543926
176	0.008628067203
177	0.008624809859
178	0.008619513845
179	0.008613591831
180	0.008608102933
181	0.008604662325
182	0.008596713126
183	0.008590994282
184	0.008584158695
185	0.008577976952
186	0.008569659455
187	0.008564627874
188	0.008560691155
189	0.008555568076
190	0.008548422645
191	0.008542825846
192	0.008537360084
193	0.008531311062
194	0.008525220183
195	0.0085188223
196	0.00851283334
197	0.008508445786
198	0.008500887818
199	0.00849720666
200	0.008491889049
201	0.008484319895
202	0.008477163656
203	0.008471668302
204	0.008468416897
205	0.008464136663
206	0.008459827062
